,Strategy_1,Strategy_2,Strategy_3,Strategy_4,Strategy_5,Strategy_6,Strategy_7,Strategy_8,Strategy_9,Strategy_10
2020-01-01,0.05692157037902992,0.03548690727326484,-0.002167578474054706,0.06760199657006116,0.008044936571435166,0.005412274868850414,-0.0026178367348751665,0.008952628519001781,0.006736141498594593,0.005044342188488439
2020-01-02,0.0160047162510167,-0.009235128273001509,0.0014373317277367051,0.02027784476791963,0.04399610665902631,-0.0023087015189408766,0.007790039236125042,-0.0018296868527041639,0.03673848199816332,-0.006581762770007954
2020-01-03,0.03336213952317217,-0.007563435045269114,-0.01936196095668454,0.008377411382520301,-0.0756727144885492,0.0253077118700778,0.00267820788076002,0.000664100818392922,-0.05440910927067638,-0.039642652122576574
2020-01-04,0.07122679597604374,-0.01845937244312341,0.01840270808404989,-0.06022224461775718,0.05948788066330493,-0.001520921296030769,-0.00849091796547139,0.0025375814149825393,-0.03759048596710818,0.004484689730168228
2020-01-05,0.060026739704499024,0.02030815258649357,-0.015934355851948634,-0.004708587088003968,-0.029464121602152806,0.0020960984157818276,-0.02436780651627865,-0.003444615143128693,-0.0648947472260649,-0.010134458568316726
2020-01-06,-0.02531833639629233,-0.043030773937605654,-0.006417473656562041,-0.007416564274414538,-0.12276617880896992,0.016824811170615635,0.009632515212358882,0.0005103278645297406,0.07629502910024624,-0.014245414515076157
2020-01-07,0.03250265252576768,0.0378962352843296,0.007028814171580428,0.0021040481481139077,-0.04781654136974804,-0.00809232404856242,0.011770637259718324,0.0004955480707103432,0.05583508505739758,-0.055693247151826886
2020-01-08,-0.0005407162489309367,-0.012224138017902057,-0.010452880866072316,-0.016945023688834656,0.051886013917390186,-0.0049163665793028844,-0.014640932286302158,-0.008273621531727103,0.07013668853668405,-0.014634879248869859
2020-01-09,0.0009034344461932649,0.009380781921141971,-0.008579522188623389,0.0034663640858425115,0.03058000260879715,0.0028760322583703548,0.01689291082937691,0.005588290028317466,0.027844829180452026,-0.004627223140106911
2020-01-10,0.01631795505815117,-0.0019874075095482014,-0.007090076149268494,-0.011702631062582593,-0.08779813063563838,-0.0022986995777935925,-0.00379893603006348,0.0035024925795977472,0.03329263289202821,-0.020917898408864145
2020-01-11,0.00832130713482634,0.03224215874089948,0.007514540445464244,-0.04098526636769388,0.05349357512215051,-0.010927646124218062,0.02681280557263819,-0.0026271448698337984,-0.03150281441999045,0.03043564320987327
2020-01-12,0.047628205208889246,-0.038202814189953076,0.024922080128149574,0.035961783317485466,-0.003038954267222036,-0.0010487651058758729,0.006518222499558621,-0.0003577413059786058,0.06149090831606438,0.07460469221140707
2020-01-13,0.026831131754409803,-0.00344834408027015,0.0024153939299840347,0.035846131477263544,0.03800579171896172,-0.0025882894700124314,-0.0028588161494224502,0.0030264968709837583,-0.029699804016534156,0.01686728870845613
2020-01-14,0.007650250494784853,-0.004681087093368313,-0.009179254451135169,0.06483505722785321,0.03058025162978683,0.007034716026094954,0.012877378432256469,-0.000806782075958235,-0.01592106408752316,0.03330014647407553
2020-01-15,0.017315896982362772,0.02567538884670875,0.007390583205807888,0.006751177476190108,-0.08854530087353142,-0.015647885294716942,0.0016112816676749648,-0.000713745393362733,-0.007350757111056767,0.07791263052472948
2020-01-16,0.014010229821228005,-0.018997825346280618,-0.00396159699806467,-0.009163709511031182,0.03207977224660253,-0.006001790376899514,0.0017915124790351565,-0.006766207062453953,-0.019748458144890086,0.022230761179955705
2020-01-17,0.04882237219472818,-0.0004485641510087149,0.0018086950347884854,-0.014087598166683566,-0.04455098264779217,0.012513910094871704,0.0012612761221533733,0.003272901559459439,0.029786443275411193,0.06670918501952348
2020-01-18,-0.0021547479129740256,-0.014557168358427436,0.01375001219500291,-0.049126706045403895,0.12775834632125818,0.01957331007231312,-0.0010512815855861198,0.0011194045264351922,-0.002923669864567549,-0.03102884685666755
2020-01-19,0.013392031049527041,0.0038442749343118566,-0.005478709492938625,0.039382860199035606,0.06186732869982864,-0.014111795576883659,0.006842253431679246,0.001872299618799818,0.002030169156856236,-0.00048500041512021357
2020-01-20,-0.021622872179051743,0.014656304274316447,0.002090252509733251,-0.03353736705390165,0.0076908453784131844,0.007448475108927784,0.008606550034260698,-0.0071326226593492,-0.0022590870419646834,0.056903160483202
2020-01-21,-0.07258969447502235,-0.019012383544258427,-0.0067810789324034195,-0.03647662844570606,-0.07463933227348257,-0.00880607885218622,0.004048086089723339,0.008753498455932379,0.04440605710342149,0.03201084669728742
2020-01-22,0.023608557863210818,0.02589447419679228,0.0004356582961537634,-0.002197746479788938,0.008354619109212615,-0.007568531547160899,0.01862590313810026,0.0012716776772817903,-0.0142085839207137,0.0062783246786679405
2020-01-23,0.029933085965785172,0.02103181441185591,0.004565704520012957,0.05701519242761066,0.016791434805810242,-0.007718791832556536,-0.0130647580427871,-0.0014356997164319406,-0.00122744640933897,0.041725835851899255
2020-01-24,-0.018264950612193256,0.013049886778037364,-0.007887790487696217,0.013285069352941933,-0.09271585273031364,-0.0032250792916239434,-0.00413631965891334,0.01064536110380556,0.016721542630951682,0.020220378657609648
2020-01-25,0.07209263871962823,0.021017118985288234,-0.0013882196602919635,-0.03083247989742639,0.18186881735289348,0.010964398269133618,0.008746538446440631,0.00027306985069676956,-0.04537970314471286,0.025654699489516295
